temperature,humidity,motion_detected,current_time,hvac_target_temperature,light_state,fan_state
29.8,69,1,14,22,1,1
26.6,58,0,8,22,0,0
18.0,39,0,23,0,0,1
15.1,26,0,1,24,1,0
27.2,28,1,17,22,0,0
25.6,20,1,11,22,1,1
25.9,45,0,2,22,1,0
26.6,57,1,6,22,1,1
16.1,57,0,8,24,1,1
20.4,80,0,7,0,0,0
16.7,63,0,5,24,1,0
27.9,63,1,0,22,1,1
24.3,81,0,13,0,1,1
20.0,25,1,15,0,1,1
16.0,36,0,15,24,1,0
19.7,70,0,3,0,1,0
19.9,57,0,5,0,0,0
25.9,43,1,14,22,0,0
24.6,70,0,21,0,0,0
28.3,29,0,7,22,1,0
22.1,40,0,0,0,1,0
16.8,89,1,12,24,0,0
25.7,76,0,17,22,0,1
26.4,58,0,17,22,1,0
23.4,52,0,12,0,0,0
26.6,78,1,21,22,0,0
22.4,37,1,13,0,0,1
22.8,75,1,10,0,0,0
21.4,76,0,6,0,1,0
15.4,67,0,17,24,0,0
16.6,61,1,20,24,1,1
15.5,46,0,21,24,1,0
24.5,71,0,3,0,0,0
19.7,61,0,16,0,0,0
22.6,51,1,18,0,1,1
28.6,45,0,13,22,1,0
18.7,44,0,9,0,0,0
21.2,42,1,5,0,0,0
26.3,76,0,17,22,0,0
18.4,71,0,3,0,1,0
16.2,50,1,10,24,0,1
19.3,83,1,12,0,0,0
17.4,90,1,7,24,0,0
28.9,52,0,9,22,1,0
27.1,21,0,22,22,0,1
24.5,37,1,10,0,1,1
28.1,66,0,2,22,0,0
27.1,52,1,14,22,0,0
17.8,54,1,7,24,1,1
28.4,70,0,19,22,1,0
23.1,37,1,17,0,1,1
27.1,49,1,20,22,1,1
28.4,63,0,0,22,0,0
19.8,72,0,23,0,1,1
16.7,29,0,7,24,0,0
18.4,71,0,2,0,0,1
21.4,68,0,0,0,1,0
27.3,30,0,19,22,1,0
27.9,85,1,15,22,1,1
15.1,77,1,8,24,1,1
22.7,55,0,16,0,1,0
21.3,52,0,15,0,0,0
18.3,66,0,22,0,1,0
16.8,32,1,5,24,1,1
20.1,59,0,22,0,1,0
29.1,87,0,6,22,1,0
19.8,61,1,23,0,1,1
22.8,38,0,15,0,1,1
25.5,38,1,7,22,0,0
20.5,77,1,9,0,1,1
29.6,42,1,13,22,0,0
29.4,73,0,10,22,0,0
18.8,84,0,1,0,0,1
22.5,31,1,11,0,0,0
19.5,43,0,19,0,0,0
19.3,53,0,19,0,0,0
15.6,72,0,12,24,0,0
24.1,27,0,14,0,0,0
22.5,37,0,11,0,0,1
15.8,76,0,12,24,0,0
19.2,24,0,7,0,1,1
28.6,45,0,15,22,0,0
18.6,49,0,2,0,0,0
17.2,73,0,12,24,0,0
22.3,32,0,11,0,0,0
29.8,48,0,18,22,1,0
18.6,22,0,1,0,0,1
25.1,77,0,0,22,0,0
26.4,21,0,7,22,0,0
18.6,47,0,8,0,1,1
25.9,21,0,7,22,1,0
20.5,26,0,20,0,0,0
24.5,45,1,16,0,0,0
24.5,35,0,8,0,0,1
23.0,42,1,5,0,1,1
16.4,59,0,14,24,0,0
27.5,79,1,22,22,0,0
19.8,51,0,23,0,0,1
17.8,34,0,12,24,0,0
15.6,32,0,20,24,0,0
23.9,24,0,21,0,0,0
25.2,71,0,11,22,0,0
15.2,60,0,12,24,0,0
22.7,72,0,6,0,1,1
18.4,69,0,22,0,0,0
24.7,34,1,17,0,1,1
17.6,26,0,13,24,1,1
25.4,59,1,10,22,1,1
20.8,47,0,13,0,1,0
29.1,51,0,16,22,0,1
17.1,34,0,23,24,0,0
20.1,89,0,20,0,1,0
16.7,84,0,1,24,1,0
28.9,23,0,18,22,1,0
28.2,30,0,15,22,0,0
18.9,45,1,21,0,1,1
24.9,80,0,9,0,1,1
27.3,56,1,21,22,0,0
23.3,42,1,7,0,1,1
22.9,59,1,20,0,0,0
18.6,42,0,4,0,0,0
16.4,35,0,6,24,0,0
28.5,80,0,12,22,0,0
28.5,87,0,15,22,1,0
24.5,50,0,4,0,1,0
20.1,72,0,15,0,1,0
20.2,44,0,14,0,0,0
25.9,63,0,8,22,0,1
28.5,31,1,21,22,0,1
28.3,28,0,22,22,1,0
26.7,31,0,11,22,0,0
24.6,88,1,7,0,1,1
16.3,73,0,12,24,0,0
17.4,73,0,4,24,0,0
28.5,47,1,13,22,0,0
24.1,75,0,15,0,0,0
15.1,88,0,10,24,1,0
16.5,77,0,19,24,1,0
25.0,61,0,11,0,1,0
15.1,57,0,14,24,1,1
17.4,87,0,23,24,1,1
23.2,72,0,11,0,1,0
25.4,52,0,8,22,1,0
24.8,90,1,0,0,1,1
18.4,75,0,2,0,0,0
25.7,70,1,11,22,0,0
18.6,62,0,19,0,1,0
19.9,34,1,12,0,0,0
26.2,57,0,22,22,0,0
24.7,34,0,5,0,1,0
27.7,24,0,9,22,0,0
24.9,73,1,9,0,1,1
23.5,70,0,15,0,0,0
16.4,29,0,0,24,1,0
20.5,31,0,15,0,0,0
19.0,23,1,3,0,1,1
18.7,37,0,5,0,1,0
29.6,55,0,18,22,1,0
20.9,44,0,1,0,0,1
28.4,55,0,17,22,0,0
24.5,86,1,9,0,1,1
26.9,28,1,3,22,1,1
22.5,80,0,0,0,1,1
23.7,72,0,14,0,1,0
22.4,37,1,9,0,0,0
17.9,62,0,17,24,0,0
25.8,54,1,15,22,1,1
19.2,82,0,12,0,1,0
15.4,23,0,14,24,0,0
24.7,60,0,1,0,0,1
17.7,64,0,19,24,1,1
29.1,69,1,3,22,1,1
29.3,47,0,0,22,0,0
28.7,61,1,6,22,0,0
20.6,88,0,22,0,0,0
15.2,20,1,10,24,0,1
28.9,58,0,9,22,1,0
21.4,36,1,0,0,1,1
29.5,54,0,10,22,1,1
29.5,65,1,23,22,1,1
27.8,61,0,9,22,0,1
19.4,58,0,13,0,1,0
20.8,68,1,13,0,1,1
27.8,81,0,6,22,1,0
19.8,57,0,22,0,0,0
17.5,42,0,10,24,1,0
23.4,41,0,21,0,1,0
29.0,23,0,3,22,0,1
25.4,68,0,23,22,0,0
23.6,78,0,1,0,1,1
16.5,87,0,6,24,1,1
24.2,90,0,18,0,0,0
29.9,21,1,13,22,0,0
17.1,68,0,18,24,0,0
22.8,50,0,6,0,0,0
28.2,59,0,11,22,1,0
26.1,67,0,2,22,0,0
25.5,70,0,14,22,0,0
25.5,62,0,4,22,1,0
20.4,74,0,7,0,0,0
19.4,68,0,13,0,1,1
27.1,76,0,3,22,0,0
27.2,34,1,6,22,1,1
28.0,46,0,6,22,1,0
28.7,87,0,17,22,0,0
22.7,83,0,13,0,1,0
22.5,49,1,7,0,1,1
27.0,55,1,11,22,1,1
24.7,86,1,9,0,0,0
25.5,68,0,13,22,0,0
26.9,74,0,8,22,0,0
28.4,75,0,5,22,0,0
20.1,87,1,4,0,0,0
20.6,63,1,0,0,0,1
16.4,50,0,0,24,1,1
23.7,77,0,19,0,1,0
15.5,72,0,16,24,1,0
22.0,42,0,10,0,1,0
23.1,47,0,11,0,0,1
19.3,35,0,2,0,1,0
23.9,56,0,5,0,1,0
15.5,40,0,10,24,0,0
15.6,36,0,12,24,0,0
27.3,56,0,10,22,1,0
20.4,38,0,7,0,0,0
16.9,49,0,9,24,1,0
22.8,64,1,1,0,1,1
26.5,37,1,23,22,0,0
18.2,81,0,13,0,1,0
24.3,55,0,15,0,0,0
16.3,71,0,16,24,1,0
15.8,38,0,10,24,1,0
23.0,63,1,1,0,0,0
23.1,26,1,23,0,1,1
24.6,63,0,22,0,1,0
25.9,87,1,4,22,0,0
29.6,53,1,15,22,1,1
22.7,85,1,15,0,0,0
19.8,88,0,1,0,1,0
26.9,74,0,15,22,0,0
19.1,29,0,4,0,1,1
21.6,61,0,7,0,1,0
16.2,60,0,19,24,1,0
15.4,88,1,13,24,1,1
29.4,29,0,9,22,1,0
27.5,29,1,22,22,0,0
25.4,79,0,1,22,0,1
21.1,70,0,2,0,0,0
17.6,40,1,17,24,0,0
17.3,27,0,20,24,0,0
18.8,84,0,1,0,1,0
23.2,49,1,20,0,1,1
25.7,68,1,8,22,0,0
24.9,28,0,1,0,0,0
19.2,36,1,6,0,0,0
29.3,88,0,6,22,1,0
26.1,77,1,13,22,0,0
23.3,76,1,4,0,1,1
24.2,81,0,7,0,1,0
21.3,71,0,22,0,1,0
18.7,80,0,21,0,0,0
20.3,59,0,17,0,0,0
26.4,57,1,5,22,0,0
15.2,62,0,13,24,0,0
16.7,82,1,17,24,1,1
15.7,38,1,16,24,0,0
15.6,69,1,8,24,0,0
27.8,52,1,12,22,1,1
25.6,32,0,15,22,0,1
22.1,81,0,20,0,0,0
16.5,62,0,9,24,1,0
22.4,68,0,9,0,1,0
22.1,55,0,3,0,0,1
17.6,29,0,11,24,1,0
21.5,25,0,7,0,1,0
21.0,76,1,14,0,0,0
24.2,20,1,20,0,1,1
24.5,90,0,22,0,1,0
15.7,77,0,18,24,1,0
20.6,40,0,14,0,1,0
24.4,75,0,7,0,0,1
22.5,39,1,7,0,1,1
27.8,73,0,18,22,0,0
24.9,44,1,8,0,0,0
17.4,47,0,23,24,0,0
16.1,24,0,16,24,1,0
24.6,40,0,7,0,1,0
15.4,37,0,11,24,0,1
23.8,66,0,14,0,1,0
29.1,89,1,3,22,1,1
23.6,76,1,5,0,1,1
20.8,38,0,15,0,0,0
24.6,84,1,4,0,1,1
21.9,22,0,22,0,1,0
23.2,61,1,12,0,0,0
29.1,40,0,14,22,0,0
20.8,59,1,16,0,1,1
29.4,86,0,21,22,1,0
28.6,44,0,19,22,1,1
17.9,74,0,21,24,0,0
16.0,71,0,4,24,1,0
16.5,63,0,18,24,0,0
15.3,75,0,6,24,0,0
16.4,74,1,2,24,0,0
25.2,89,1,12,22,0,0
16.1,85,1,13,24,1,1
19.8,38,1,15,0,1,1
27.7,26,1,12,22,0,1
15.3,82,0,1,24,1,0
27.2,61,0,13,22,0,0
19.2,61,1,19,0,0,0
16.8,78,1,6,24,1,1
25.5,39,0,4,22,0,0
24.4,36,0,13,0,0,0
28.2,46,0,8,22,0,0
26.0,66,1,9,22,1,1
27.1,21,0,6,22,0,0
19.2,82,1,13,0,0,0
17.7,81,1,13,24,1,1
26.3,38,0,1,22,0,0
27.1,36,0,16,22,0,1
29.9,88,0,19,22,0,0
21.2,58,0,3,0,0,0
20.6,90,0,12,0,1,0
26.6,58,1,17,22,1,1
20.1,55,0,2,0,1,0
29.0,59,0,18,22,0,0
27.9,64,0,4,22,0,0
21.4,23,1,0,0,0,0
26.3,44,0,8,22,0,0
26.3,88,1,23,22,0,0
16.5,49,0,7,24,0,0
28.5,87,0,2,22,0,1
22.6,48,0,1,0,1,0
27.4,87,0,0,22,0,1
19.8,70,0,11,0,0,0
28.4,43,0,21,22,0,0
20.8,33,0,12,0,0,0
15.2,88,0,9,24,1,0
28.6,37,0,16,22,0,1
16.4,61,1,10,24,0,0
19.8,76,0,4,0,0,0
29.3,31,0,8,22,0,0
29.3,36,1,12,22,1,1
23.6,49,1,19,0,1,1
24.5,42,1,22,0,0,0
21.7,20,0,10,0,1,0
19.4,51,1,22,0,0,1
19.9,28,0,3,0,0,1
25.1,34,0,20,22,0,1
26.3,47,1,10,22,1,1
26.9,43,0,8,22,0,0
26.8,79,0,6,22,1,0
16.4,54,0,15,24,0,1
22.4,46,1,22,0,0,1
15.9,39,0,22,24,1,0
23.2,84,0,4,0,1,0
21.6,68,0,5,0,1,1
28.3,20,0,18,22,1,0
20.3,29,1,0,0,0,0
16.8,66,0,15,24,0,1
17.1,78,0,17,24,0,1
26.4,81,1,23,22,0,1
24.3,37,0,12,0,1,0
16.5,65,0,0,24,1,0
16.3,51,1,9,24,1,1
25.5,46,0,6,22,0,0
16.1,37,0,4,24,1,0
27.3,58,1,12,22,1,1
25.6,68,1,21,22,0,1
16.2,63,1,15,24,0,0
16.3,73,1,23,24,1,1
29.8,53,1,19,22,1,1
20.6,90,1,21,0,1,1
20.6,55,1,13,0,0,0
27.2,37,0,10,22,0,0
29.2,57,0,18,22,0,0
29.8,78,1,22,22,0,1
26.3,28,0,1,22,1,0
20.6,70,0,7,0,0,0
16.3,54,0,12,24,1,0
26.7,24,0,6,22,1,0
23.4,33,0,11,0,0,1
21.4,49,1,7,0,0,0
28.6,23,1,15,22,1,1
16.7,58,1,17,24,1,1
22.4,83,1,18,0,0,0
15.2,44,0,3,24,0,0
22.0,47,0,11,0,1,1
15.8,85,0,15,24,1,0
16.8,41,0,20,24,0,0
16.8,50,0,21,24,1,0
24.7,42,0,16,0,1,0
26.2,67,0,3,22,0,0
23.8,39,0,19,0,1,1
29.4,57,1,23,22,0,1
20.6,74,0,23,0,0,0
19.3,87,0,21,0,0,0
28.0,20,0,23,22,0,0
18.4,26,0,8,0,1,0
29.4,76,0,4,22,1,0
15.2,31,0,16,24,0,0
29.5,24,0,16,22,0,0
15.6,69,1,1,24,1,1
28.4,61,0,1,22,0,0
22.9,31,1,20,0,0,0
29.9,37,1,22,22,1,1
16.1,85,0,6,24,1,0
23.3,36,1,3,0,0,0
29.5,87,0,12,22,1,0
22.8,90,0,19,0,0,0
24.4,81,0,10,0,1,0
25.4,60,1,2,22,1,1
21.8,53,0,1,0,1,0
24.4,89,1,15,0,1,1
23.8,64,1,2,0,0,0
28.5,77,1,23,22,0,0
15.7,70,0,14,24,0,0
19.2,53,1,16,0,1,1
29.3,63,0,15,22,1,1
28.4,34,0,19,22,1,1
21.8,89,1,6,0,1,1
24.3,69,1,15,0,0,0
19.2,51,0,4,0,0,0
17.8,86,0,1,24,0,0
22.0,22,0,0,0,0,0
20.3,70,0,21,0,0,0
23.8,86,0,12,0,1,0
16.2,67,0,15,24,0,0
29.6,36,0,4,22,1,0
29.8,26,1,2,22,1,1
25.5,32,0,14,22,0,0
23.0,85,1,15,0,1,1
19.6,23,1,10,0,0,0
27.2,29,0,18,22,0,0
25.3,36,0,17,22,0,0
17.4,71,0,20,24,0,0
28.7,25,1,8,22,1,1
27.3,88,0,7,22,1,0
29.2,28,0,21,22,0,1
25.9,40,0,18,22,0,1
24.2,43,0,21,0,0,0
21.3,23,0,4,0,1,0
29.0,43,1,16,22,0,1
28.0,78,0,4,22,1,0
15.7,22,1,13,24,1,1
15.4,87,1,6,24,0,1
20.6,59,0,8,0,1,0
27.2,67,0,16,22,0,0
29.8,73,1,2,22,1,1
17.3,54,1,7,24,0,0
23.9,75,0,21,0,0,0
20.7,59,1,12,0,1,1
29.5,87,0,15,22,1,0
27.6,65,0,20,22,1,0
27.6,32,0,9,22,0,0
22.0,46,0,17,0,1,0
21.2,25,0,2,0,0,0
19.1,36,0,11,0,0,0
15.8,55,0,15,24,0,0
28.0,21,0,17,22,1,0
27.2,71,1,16,22,1,1
30.0,85,1,6,22,0,1
29.9,71,0,18,22,0,0
23.3,62,0,22,0,0,0
26.5,41,0,22,22,0,0
29.2,74,0,7,22,0,0
27.7,86,0,16,22,1,0
18.7,79,0,20,0,1,0
21.8,77,1,6,0,1,1
16.9,31,1,0,24,0,0
29.3,88,0,7,22,0,0
24.1,58,1,18,0,0,0
18.4,32,0,19,0,1,0
25.1,60,0,19,22,0,1
24.3,76,1,9,0,1,1
20.4,72,0,11,0,1,1
16.7,31,0,23,24,0,0
25.1,32,1,0,22,0,0
22.8,76,1,23,0,1,1
26.6,59,1,20,22,1,1
22.8,64,1,3,0,0,0
27.8,54,1,3,22,0,0
23.3,22,0,8,0,1,1
23.4,24,0,14,0,1,0
28.1,30,0,23,22,0,0
21.1,90,0,14,0,0,0
17.0,75,0,6,24,0,0
15.4,29,0,11,24,1,1
26.3,53,0,2,22,0,1
24.3,86,0,19,0,1,0
25.6,50,1,8,22,1,1
18.2,90,0,13,0,0,1
17.0,85,0,12,24,1,0
15.2,89,1,23,24,0,0
20.3,60,1,11,0,1,1
23.8,82,0,0,0,1,0
20.9,51,0,18,0,0,0
21.6,39,0,15,0,0,1
28.6,76,0,11,22,1,1
20.2,69,0,9,0,0,0
22.7,44,0,1,0,0,0
26.8,31,0,17,22,0,1
20.9,90,0,12,0,1,1
24.3,58,0,23,0,1,1
27.9,36,1,5,22,1,1
29.2,64,1,11,22,0,0
17.2,30,0,21,24,0,0
28.9,89,0,3,22,0,0
22.4,42,0,0,0,0,0
18.9,89,0,10,0,1,0
21.9,57,0,22,0,1,1
29.7,21,0,7,22,0,1
22.4,56,0,1,0,1,0
19.9,68,0,1,0,0,0
24.5,71,0,15,0,0,0
18.6,52,0,0,0,1,1
16.1,41,0,3,24,1,0
16.9,24,0,5,24,1,0
16.9,37,0,20,24,0,0
17.3,57,0,19,24,0,1
17.1,56,0,13,24,0,0
24.6,83,0,19,0,1,0
17.7,29,0,14,24,1,1
20.2,61,0,6,0,0,0
28.5,67,0,6,22,1,0
22.1,63,0,17,0,0,0
25.0,35,0,22,0,1,1
17.6,73,1,1,24,0,0
17.9,54,1,19,24,0,0
15.6,47,1,14,24,0,0
17.5,21,0,0,24,0,1
19.2,32,1,20,0,1,1
17.7,60,0,16,24,1,0
16.3,78,0,19,24,1,0
16.8,88,0,12,24,1,0
21.9,72,1,11,0,0,0
18.1,64,0,23,0,1,1
20.5,39,1,21,0,1,1
22.6,43,0,14,0,0,0
25.4,80,0,23,22,0,0
15.6,77,0,4,24,1,0
27.0,46,0,6,22,0,0
24.4,45,0,7,0,1,0
16.2,26,0,22,24,0,1
28.1,61,0,13,22,1,1
28.8,66,0,3,22,1,0
15.9,72,0,20,24,0,0
19.2,78,1,13,0,0,0
27.1,57,0,9,22,0,1
26.2,88,0,21,22,0,0
17.8,72,0,15,24,1,0
18.1,34,0,10,0,0,0
20.6,45,1,21,0,1,1
22.3,67,1,13,0,0,0
24.3,38,0,13,0,1,0
20.5,28,0,1,0,1,0
21.9,83,1,21,0,0,0
26.2,73,1,12,22,1,1
15.6,70,1,2,24,1,1
18.8,58,1,17,0,0,0
25.7,23,0,21,22,1,0
28.4,22,0,3,22,0,0
22.7,83,0,20,0,0,0
23.0,48,0,20,0,1,0
16.6,30,0,18,24,1,0
21.7,77,0,15,0,1,0
23.0,46,0,3,0,0,0
18.6,40,0,18,0,1,0
19.0,58,0,22,0,1,1
20.7,65,0,14,0,1,0
15.3,85,0,0,24,0,0
19.8,55,1,15,0,1,1
18.2,84,1,14,0,1,1
19.9,82,0,15,0,0,1
16.8,54,0,21,24,1,0
28.4,50,0,19,22,0,0
23.9,47,0,0,0,0,0
25.2,20,0,16,22,1,0
26.8,44,0,4,22,1,0
22.5,62,1,4,0,0,0
16.3,86,0,6,24,0,0
23.1,82,0,12,0,1,1
23.8,70,0,11,0,1,0
26.2,21,0,3,22,1,0
21.5,83,0,3,0,1,1
16.9,88,1,22,24,1,1
19.3,28,0,20,0,0,1
20.4,21,0,20,0,1,1
24.7,53,0,5,0,0,0
23.6,79,0,23,0,1,0
20.3,80,0,14,0,0,0
29.8,50,0,20,22,0,1
24.1,29,0,18,0,1,0
18.6,55,0,5,0,1,0
16.5,68,1,11,24,1,1
17.3,89,0,13,24,1,1
18.7,68,0,17,0,0,1
17.4,22,0,11,24,1,0
17.8,24,0,23,24,0,1
19.3,80,0,23,0,0,0
17.6,45,0,14,24,0,0
28.5,24,0,18,22,1,0
16.2,34,0,7,24,1,0
22.9,35,0,8,0,1,0
21.2,20,0,4,0,0,0
29.7,35,0,4,22,0,0
16.7,56,1,5,24,1,1
21.0,22,1,22,0,0,0
29.5,71,0,2,22,0,1
28.0,66,0,4,22,1,0
27.3,32,1,0,22,1,1
18.9,74,0,10,0,0,0
17.6,40,0,20,24,0,0
25.0,85,1,19,0,1,1
28.9,73,0,0,22,1,0
23.4,46,1,6,0,1,1
23.6,57,1,14,0,0,0
19.2,77,0,16,0,0,0
26.5,81,1,7,22,1,1
17.8,65,0,1,24,0,0
19.9,30,0,12,0,1,0
21.4,27,1,11,0,0,0
22.6,90,0,4,0,1,1
18.6,83,1,12,0,1,1
16.7,40,1,5,24,0,0
24.2,82,1,14,0,1,1
19.3,83,1,22,0,0,0
23.7,39,0,21,0,1,0
17.3,27,0,20,24,0,0
22.2,77,1,21,0,0,1
23.0,65,0,10,0,0,0
15.8,50,0,3,24,1,0
20.0,28,0,0,0,1,0
17.0,34,1,14,24,0,0
16.0,45,1,11,24,1,1
29.8,29,0,8,22,1,0
19.8,48,0,10,0,1,0
27.1,55,0,4,22,1,0
18.8,56,0,23,0,1,1
25.2,90,0,6,22,1,1
26.4,42,0,7,22,0,0
23.9,60,0,0,0,0,1
22.1,47,0,0,0,1,1
21.2,67,0,2,0,0,0
20.2,57,0,7,0,0,1
28.9,50,1,10,22,1,1
27.5,33,0,0,22,0,0
29.5,48,0,13,22,1,0
16.9,70,0,0,24,1,0
26.0,68,0,5,22,1,0
29.1,62,0,20,22,0,0
17.7,24,0,5,24,0,0
16.0,61,0,2,24,1,1
26.1,26,0,9,22,0,0
23.6,61,1,11,0,1,1
27.6,55,0,9,22,1,0
17.1,46,0,21,24,0,0
26.9,77,1,1,22,1,1
18.0,65,0,23,0,1,0
17.5,85,1,21,24,0,0
17.5,44,1,12,24,0,0
27.2,46,0,15,22,0,0
25.0,20,1,12,0,0,0
22.8,61,1,3,0,1,1
20.4,71,1,3,0,0,0
28.2,44,0,10,22,0,0
20.9,73,0,22,0,1,0
27.2,86,1,13,22,1,1
21.6,25,0,2,0,0,0
20.7,77,0,18,0,1,0
21.9,89,0,21,0,0,0
19.5,72,0,0,0,1,0
26.2,85,0,4,22,1,0
22.5,77,1,16,0,1,1
18.5,21,1,0,0,1,1
28.5,41,0,18,22,1,1
20.8,56,1,18,0,1,1
23.2,39,1,3,0,1,1
28.6,43,0,18,22,0,0
24.4,84,0,5,0,0,0
16.8,84,1,14,24,1,1
29.1,20,0,3,22,1,0
24.4,22,1,23,0,1,1
20.0,65,1,0,0,1,1
17.1,74,0,23,24,1,0
26.9,83,0,16,22,0,0
24.3,64,0,10,0,0,1
23.0,45,0,16,0,1,0
28.4,84,0,22,22,1,0
26.8,43,1,0,22,1,1
17.3,54,0,8,24,1,0
19.7,43,1,13,0,1,1
18.7,47,0,14,0,1,1
26.2,35,1,23,22,0,1
15.5,78,0,0,24,1,0
23.5,73,1,1,0,0,0
26.4,35,1,17,22,0,0
28.2,34,0,17,22,0,0
20.1,30,1,5,0,0,0
27.3,84,0,19,22,0,1
16.7,87,0,7,24,0,0
27.7,62,0,0,22,0,0
16.9,88,1,14,24,1,1
21.0,32,0,9,0,0,0
27.0,29,0,3,22,1,0
17.2,60,1,9,24,1,1
18.4,69,1,10,0,0,1
25.8,90,0,4,22,0,0
25.8,78,0,8,22,0,0
24.6,58,0,4,0,1,0
25.4,22,1,10,22,0,0
23.1,26,1,2,0,0,0
18.8,68,0,3,0,0,1
20.2,45,0,9,0,1,1
17.7,52,0,6,24,1,0
28.6,67,1,0,22,0,0
23.8,21,0,5,0,0,0
21.0,90,0,7,0,0,0
21.9,51,0,16,0,0,0
29.2,23,0,23,22,0,0
17.3,39,0,6,24,1,0
23.8,55,0,0,0,1,0
22.6,51,1,8,0,1,1
24.2,47,0,10,0,1,0
15.3,20,0,18,24,0,0
28.1,79,1,1,22,0,0
29.0,75,0,22,22,0,0
23.5,54,0,10,0,1,0
25.4,49,0,2,22,0,0
28.8,73,1,16,22,1,1
25.6,55,0,9,22,1,1
17.3,74,1,2,24,0,0
23.6,77,0,21,0,1,1
24.1,84,0,2,0,0,0
21.4,88,1,20,0,0,1
26.0,70,1,6,22,0,0
29.0,41,0,1,22,0,0
28.9,72,1,0,22,1,1
21.8,55,0,6,0,1,0
16.7,87,0,19,24,0,0
29.8,55,0,10,22,0,0
27.6,71,0,22,22,0,0
16.9,72,0,5,24,1,0
28.8,69,0,22,22,0,1
28.0,60,0,3,22,0,1
22.8,37,0,18,0,0,0
23.9,41,1,20,0,0,0
21.0,85,1,18,0,1,1
15.8,40,1,13,24,1,1
20.0,63,0,2,0,1,1
27.0,66,0,3,22,1,1
15.1,58,1,7,24,1,1
20.0,48,1,17,0,0,1
21.0,73,0,3,0,0,1
23.1,36,1,10,0,0,0
28.8,79,1,15,22,1,1
20.2,50,1,2,0,1,1
20.2,68,0,6,0,0,0
26.1,21,0,1,22,0,1
21.8,67,0,0,0,0,0
18.4,33,0,0,0,1,0
21.8,78,0,5,0,1,0
17.1,77,0,18,24,0,1
17.6,77,1,6,24,1,1
22.5,70,0,23,0,1,1
21.3,21,0,4,0,0,0
28.7,60,0,20,22,0,0
20.4,35,0,17,0,1,0
23.7,23,1,23,0,0,0
24.5,31,0,12,0,0,0
15.2,48,1,0,24,0,0
25.0,26,0,9,0,1,0
17.7,33,0,8,24,1,1
29.4,31,1,16,22,1,1
17.2,24,0,0,24,0,1
21.2,51,0,0,0,0,0
16.3,62,0,6,24,1,0
30.0,88,0,3,22,0,0
22.5,64,0,22,0,1,1
23.9,28,1,20,0,0,0
16.0,68,0,11,24,1,0
26.2,52,1,15,22,1,1
18.1,37,0,13,0,1,0
28.5,28,0,22,22,0,0
18.1,81,0,9,0,1,0
17.9,76,0,13,24,0,0
15.5,48,0,6,24,1,0
22.1,44,0,3,0,0,0
23.5,34,0,1,0,1,0
16.0,25,1,23,24,0,0
26.6,61,0,17,22,1,0
21.8,48,1,15,0,1,1
22.9,23,0,8,0,0,0
21.6,76,0,4,0,1,1
21.0,68,0,8,0,0,0
23.4,63,0,7,0,1,0
17.3,33,1,23,24,1,1
17.7,22,0,19,24,1,0
27.9,81,0,15,22,0,0
29.2,83,0,19,22,0,0
